name,poi_id,osm_way_id,waterway,barrier,area,centroid,geometry
 Center Ridge Tank,30,68704456,water,,5.777771000018626e-08,POINT (-111.0795763 33.7776487),"POLYGON ((-111.0797355 33.77767, -111.0797158 33.777736, -111.079617 33.7777636, -111.0794787 33.777736, -111.0793668 33.7776536, -111.0794524 33.7775986, -111.0795511 33.7775381, -111.0796564 33.7775106, -111.0797355 33.77767))"
,31,68704629,water,,3.814722999917266e-08,POINT (-110.9511111 33.6800393),"POLYGON ((-110.9511757 33.6799085, -110.951208 33.6799627, -110.9512188 33.6800168, -110.9511864 33.6800799, -110.9511432 33.680125, -110.9510892 33.6801701, -110.9510569 33.6801791, -110.9510245 33.6801881, -110.9510171 33.6801634, -110.9510137 33.680152, -110.9510246 33.6800348, -110.951057 33.6799806, -110.9510786 33.6799265, -110.9511326 33.6798995, -110.9511757 33.6799085))"
 Schoolhouse Tank,32,68704652,water,,5.2312989999640603e-08,POINT (-111.0811097 33.6012365),"POLYGON ((-111.0809737 33.6013435, -111.0809224 33.6013123, -111.0809422 33.6012408, -111.0811983 33.6011033, -111.0812641 33.6011253, -111.0812838 33.6011583, -111.081251 33.6012518, -111.0811261 33.6013288, -111.0809948 33.6013563, -111.0809737 33.6013435))"
,33,68704679,water,,1.201202299987314e-07,POINT (-111.0710124 33.7797621),"POLYGON ((-111.0712356 33.7799033, -111.0709458 33.7799032, -111.0708075 33.7798428, -111.0706956 33.7797328, -111.0707017 33.7797301, -111.0708799 33.7796504, -111.071084 33.7796008, -111.0711829 33.7796174, -111.0712356 33.7797163, -111.0712356 33.7799033))"
,34,68704757,water,,2.03122790000779e-07,POINT (-111.0356033 33.7658531),"POLYGON ((-111.0357716 33.7656771, -111.0358489 33.7656987, -111.0359082 33.7657318, -111.0359016 33.7658527, -111.0358225 33.7659517, -111.0356974 33.7660396, -111.0353814 33.7661769, -111.0354144 33.7660285, -111.0353947 33.7658856, -111.0353618 33.7657536, -111.0353815 33.7656546, -111.0354342 33.7656052, -111.0356515 33.7656437, -111.0357716 33.7656771))"
 Whiskey Tank,35,68704809,water,,2.892944999981393e-08,POINT (-111.0584192 33.7646773),"POLYGON ((-111.0585019 33.7647504, -111.0584032 33.7647779, -111.0583308 33.7647229, -111.0583176 33.7646404, -111.0583966 33.7645799, -111.0584691 33.7645854, -111.0585151 33.7646624, -111.0585019 33.7647504))"
 Dutchwoman Tank,36,68704822,water,,6.185995000056884e-08,POINT (-111.0925538 33.7733814),"POLYGON ((-111.0927369 33.7733935, -111.0927377 33.7733955, -111.0926785 33.7734615, -111.0925731 33.7734945, -111.0923756 33.773467, -111.0924019 33.7733901, -111.0924217 33.7732801, -111.0925862 33.7732691, -111.0927048 33.7733075, -111.0927369 33.7733935))"
,37,68704837,water,,1.3028437500041265e-07,POINT (-111.0215078 33.7477577),"POLYGON ((-111.0217165 33.7477806, -111.0217493 33.7478081, -111.0217625 33.7478521, -111.0216967 33.747896, -111.0216506 33.7479401, -111.021565 33.74794, -111.0214333 33.7479345, -111.0213413 33.7478355, -111.0212952 33.7477585, -111.0212821 33.7476815, -111.0213084 33.747599, -111.0213611 33.7475716, -111.021427 33.7475606, -111.0214993 33.7475826, -111.0216178 33.7476156, -111.0216705 33.7476596, -111.0217165 33.7477806))"
,38,68704892,reservoir,,1.337941655004553e-06,POINT (-111.0531567 33.6518858),"POLYGON ((-111.0527873 33.6522541, -111.0528202 33.6523531, -111.0528596 33.6524411, -111.0529188 33.6524961, -111.0530043 33.6525786, -111.0530897 33.6526225, -111.0532081 33.6526501, -111.0533264 33.652661, -111.0534448 33.6526391, -111.0535434 33.6526061, -111.0536288 33.6525511, -111.0537012 33.6524961, -111.0537669 33.6524081, -111.053813 33.6522817, -111.0538458 33.6521883, -111.0538458 33.6521718, -111.0538525 33.6521278, -111.0538458 33.6520453, -111.053813 33.6519738, -111.0537801 33.6519353, -111.053721 33.6519188, -111.0536486 33.6518748, -111.0535763 33.6518364, -111.0535172 33.6517924, -111.0534975 33.6517099, -111.0534448 33.6516219, -111.053412 33.6515229, -111.0533659 33.6513965, -111.0533003 33.65127, -111.0532476 33.651204, -111.0531622 33.6511435, -111.0530438 33.6510775, -111.0529387 33.6510721, -111.052794 33.6510555, -111.0527086 33.6510555, -111.0526231 33.6510995, -111.0525705 33.65116, -111.0525377 33.6512314, -111.0525179 33.6513084, -111.0525507 33.6513799, -111.0526033 33.6515338, -111.0526362 33.6516383, -111.0526888 33.6518088, -111.0527413 33.6519902, -111.0527742 33.6521112, -111.0527808 33.6521827, -111.0527873 33.6522541))"
 Mormon Tank,39,68705044,reservoir,,9.72615600012504e-08,POINT (-111.0578837 33.7081983),"POLYGON ((-111.0579914 33.7080897, -111.0580572 33.7081612, -111.0580637 33.7082328, -111.0580308 33.7082712, -111.0579979 33.7082877, -111.0579453 33.7083041, -111.0579256 33.7083812, -111.0579058 33.7084086, -111.0578795 33.7084416, -111.0578598 33.7084526, -111.0578071 33.7084417, -111.0577742 33.7083261, -111.0577545 33.7082052, -111.0577546 33.7081447, -111.0577545 33.7080788, -111.0577874 33.7080183, -111.0578137 33.7079798, -111.0578729 33.7079743, -111.0579256 33.7079908, -111.0579453 33.7080292, -111.0579914 33.7080897))"
 Cholla Tank,40,68705142,water,,7.429065999880939e-08,POINT (-111.0419759 33.6105397),"POLYGON ((-111.0421254 33.6104537, -111.0421728 33.6104779, -111.0421728 33.6105603, -111.0420676 33.6106208, -111.0419165 33.6106923, -111.041818 33.6106428, -111.0417982 33.6105328, -111.0418377 33.6104668, -111.0419362 33.6104064, -111.0420546 33.6104174, -111.0421254 33.6104537))"
